Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Dementia	C0497327	SORL1	6653	Q92673	sortilin related receptor 1	Transporter	103	0.582	0.692	7.6609e-11	0.05		0.8	5	3	2008.0	2018.0
Dementia	C0497327	GFAP	2670	P14136	glial fibrillary acidic protein		447	0.421	0.885	1.4601e-06	0.05		0.8	5	0	1997.0	2019.0
Dementia	C0497327	CIT	11113	O14578	citron rho-interacting serine/threonine kinase	Kinase	127	0.555	0.692	0.9997	0.05		1.0	5	0	2017.0	2018.0
Dementia	C0497327	ADIPOQ	9370	Q15848	adiponectin, C1Q and collagen domain containing		679	0.376	0.885	4.6434e-09	0.05		0.6	5	0	2012.0	2018.0
Dementia	C0497327	COPD	260431		Pulmonary disease, chronic obstructive, severe early-onset		349	0.456	0.885		0.05		1.0	5	0	2017.0	2019.0
Dementia	C0497327	IDE	3416	P14735	insulin degrading enzyme	Enzyme	71	0.604	0.577	0.0066309	0.05		0.8	5	0	2006.0	2017.0
Dementia	C0497327	ABCB6	10058	Q9NP58	ATP binding cassette subfamily B member 6 (Langereis blood group)	Transporter	400	0.431	0.885	8.5999e-19	0.05		1.0	5	0	2012.0	2019.0
Dementia	C0497327	DPP4	1803	P27487	dipeptidyl peptidase 4	Enzyme	451	0.42	0.808	7.2797e-09	0.05		1.0	5	0	2012.0	2019.0
Dementia	C0497327	NRGN	4900	Q92686	neurogranin		69	0.608	0.615	0.4819	0.05		1.0	5	0	2017.0	2020.0
Dementia	C0497327	SIRT1	23411	Q96EB6	sirtuin 1	Epigenetic regulator	675	0.378	0.885	0.087326	0.05		1.0	5	0	2017.0	2019.0
Dementia	C0497327	DYRK1A	1859	Q13627	dual specificity tyrosine phosphorylation regulated kinase 1A	Kinase	212	0.533	0.769	0.99967	0.05		0.8	5	0	2011.0	2019.0
Dementia	C0497327	ADAMTS2	9509	O95450	ADAM metallopeptidase with thrombospondin type 1 motif 2	Enzyme	138	0.579	0.808	0.9661	0.04		1.0	4	0	2018.0	2020.0
Dementia	C0497327	SCD	6319	O00767	stearoyl-CoA desaturase		225	0.49	0.808	0.96968	0.04		1.0	4	0	2017.0	2019.0
Dementia	C0497327	TSHZ1	10194	Q6ZSZ6	teashirt zinc finger homeobox 1	Transcription factor	99	0.569	0.731	0.9973	0.04		1.0	4	0	1996.0	2017.0
Dementia	C0497327	APOC1	341	P02654	apolipoprotein C1		95	0.581	0.577	0.21685	0.04		1.0	4	0	1998.0	2018.0
Dementia	C0497327	SQSTM1	8878	Q13501	sequestosome 1		470	0.428	0.885	0.00086035	0.04		1.0	4	1	2003.0	2019.0
Dementia	C0497327	TGFB1	7040	P01137	transforming growth factor beta 1	Signaling	1558	0.287	0.962	0.03685	0.04		1.0	4	0	2001.0	2019.0
Dementia	C0497327	CHRNA4	1137	P43681	cholinergic receptor nicotinic alpha 4 subunit	Ion channel	248	0.492	0.808	8.5474e-05	0.04		1.0	4	1	2005.0	2012.0
Dementia	C0497327	AGPS	8540	O00116	alkylglycerone phosphate synthase		38	0.67	0.538	1.0	0.04		1.0	4	0	2013.0	2019.0
Dementia	C0497327	BCL2	596	P10415	BCL2 apoptosis regulator	Signaling	1456	0.291	0.885	0.55903	0.04		1.0	4	1	2005.0	2018.0
Dementia	C0497327	MCF2L	23263	O15068	MCF.2 cell line derived transforming sequence like	Signaling	124	0.559	0.769	2.7178e-07	0.04		0.75	4	0	2017.0	2018.0
Dementia	C0497327	CHRNA7	1139	P36544;Q494W8	cholinergic receptor nicotinic alpha 7 subunit	Ion channel	172	0.532	0.654	0.00041549	0.04		0.75	4	2	2009.0	2017.0
Dementia	C0497327	AGER	177	Q15109	advanced glycosylation end-product specific receptor	Receptor	450	0.42	0.885	6.3528e-16	0.04		1.0	4	1	2011.0	2019.0
Dementia	C0497327	LRP2	4036	P98164	LDL receptor related protein 2		254	0.491	0.846	0.99999	0.04		0.75	4	0	2017.0	2018.0
Dementia	C0497327	ST3GAL4	6484	Q11206	ST3 beta-galactoside alpha-2,3-sialyltransferase 4		115	0.588	0.692	0.039802	0.04		1.0	4	0	2017.0	2018.0
Dementia	C0497327	BPIFA4P	317716	Q86YQ2	BPI fold containing family A member 4, pseudogene		32	0.711	0.654		0.03		1.0	3	0	2018.0	2019.0
Dementia	C0497327	TOMM40	10452	O96008	translocase of outer mitochondrial membrane 40	Transporter	113	0.59	0.538	0.99218	0.03		1.0	3	0	2016.0	2019.0
Dementia	C0497327	DHDDS	79947	Q86SQ9	dehydrodolichyl diphosphate synthase subunit	Enzyme	308	0.468	0.885	0.24533	0.03		1.0	3	0	2017.0	2019.0
Dementia	C0497327	CYP19A1	1588	P11511	cytochrome P450 family 19 subfamily A member 1	Enzyme	519	0.41	0.885	1.7022e-05	0.03		1.0	3	0	2019.0	2019.0
Dementia	C0497327	CYP2D6	1565	P10635	cytochrome P450 family 2 subfamily D member 6		432	0.437	0.885	1.0793e-25	0.03		0.667	3	0	2003.0	2008.0
Dementia	C0497327	ALDH2	217	P05091	aldehyde dehydrogenase 2 family member	Enzyme	337	0.457	0.885	3.3959e-10	0.03		0.333	3	0	2004.0	2018.0
Dementia	C0497327	SERPINA1	5265	P01009	serpin family A member 1	Enzyme modulator	482	0.41	0.923	6.8497e-08	0.03		1.0	3	0	2002.0	2009.0
Dementia	C0497327	IGF1R	3480	P08069	insulin like growth factor 1 receptor	Kinase	556	0.399	0.885	0.96799	0.03		0.667	3	0	2006.0	2019.0
Dementia	C0497327	MME	4311	P08473	membrane metalloendopeptidase	Enzyme	470	0.407	0.808	1.465e-18	0.03		1.0	3	0	2005.0	2016.0
Dementia	C0497327	VCAM1	7412	P19320	vascular cell adhesion molecule 1		406	0.422	0.808	0.79791	0.03		1.0	3	0	2011.0	2018.0
Dementia	C0497327	NGF	4803	P01138	nerve growth factor	Signaling	616	0.391	0.885	0.82026	0.03		1.0	3	1	2015.0	2018.0
Dementia	C0497327	APOA1	335	P02647	apolipoprotein A1		416	0.429	0.885	0.00054909	0.03		1.0	3	0	2007.0	2009.0
Dementia	C0497327	PLA2G7	7941	Q13093	phospholipase A2 group VII	Enzyme	136	0.537	0.769	5.3314e-22	0.03		1.0	3	0	2010.0	2018.0
Dementia	C0497327	S100B	6285	P04271	S100 calcium binding protein B	Calcium-binding protein	599	0.383	0.923	0.04387	0.03		1.0	3	0	2007.0	2017.0
Dementia	C0497327	ICAM1	3383	P05362	intercellular adhesion molecule 1		737	0.364	0.962	0.035295	0.03		1.0	3	0	2011.0	2018.0
Dementia	C0497327	NDUFAB1	4706	O14561	NADH:ubiquinone oxidoreductase subunit AB1	Transporter	45	0.656	0.692	0.52661	0.03		1.0	3	0	2018.0	2019.0
Dementia	C0497327	IAPP	3375	P10997	islet amyloid polypeptide	Signaling	183	0.507	0.808	0.0031814	0.03		1.0	3	0	2017.0	2017.0
Dementia	C0497327	HTR6	3362	P50406	5-hydroxytryptamine receptor 6	G-protein coupled receptor	57	0.626	0.5	0.00018524	0.03		1.0	3	1	2001.0	2018.0
Dementia	C0497327	WWC1	23286	Q8IX03	WW and C2 domain containing 1		71	0.61	0.692	0.00039438	0.03		0.667	3	1	2009.0	2018.0
Dementia	C0497327	IL1RN	3557	P18510	interleukin 1 receptor antagonist		701	0.373	0.923	0.030914	0.03		1.0	3	0	2003.0	2020.0
Dementia	C0497327	CHAT	1103	P28329	choline O-acetyltransferase	Enzyme	230	0.52	0.808	5.6328e-11	0.03		1.0	3	0	2006.0	2010.0
Dementia	C0497327	FASTK	10922	Q14296	Fas activated serine/threonine kinase	Kinase	65	0.617	0.615	0.0047199	0.03		1.0	3	0	2019.0	2019.0
Dementia	C0497327	CETP	1071	P11597	cholesteryl ester transfer protein		188	0.512	0.731	1.1892e-23	0.03		1.0	3	1	2010.0	2012.0
Dementia	C0497327	PRKN	5071	O60260	parkin RBR E3 ubiquitin protein ligase	Enzyme	409	0.431	0.846	6.9346e-07	0.03		1.0	3	1	2010.0	2019.0
Dementia	C0497327	IL10	3586	P22301	interleukin 10		1679	0.281	0.923	0.0058874	0.03		1.0	3	0	2016.0	2020.0
Dementia	C0497327	MOK	5891	Q9UQ07	MOK protein kinase	Kinase	251	0.476	0.769	8.8397e-22	0.03		1.0	3	1	2017.0	2019.0
Dementia	C0497327	STH	246744	Q8IWL8	saitohin		27	0.705	0.385		0.03		1.0	3	0	2002.0	2010.0
Dementia	C0497327	CPAT1	60502		cerebral palsy, ataxic 1		34	0.674	0.654		0.03		1.0	3	0	2018.0	2019.0
Dementia	C0497327	SUCLA2	8803	Q9P2R7	succinate-CoA ligase ADP-forming subunit beta	Enzyme	136	0.566	0.654	0.0023488	0.03		1.0	3	0	2017.0	2019.0
Dementia	C0497327	ATM	472	Q13315	ATM serine/threonine kinase	Kinase	684	0.374	0.885	5.5884e-47	0.02		1.0	2	0	2013.0	2017.0
Dementia	C0497327	MIR132	406921		microRNA 132		222	0.485	0.846		0.02		1.0	2	0	2019.0	2020.0
Dementia	C0497327	NF1	4763	P21359	neurofibromin 1	Enzyme modulator	380	0.44	0.885	0.90175	0.02		1.0	2	0	2011.0	2011.0
Dementia	C0497327	SGCA	6442	Q16586	sarcoglycan alpha	Calcium-binding protein	111	0.592	0.654	0.0027124	0.02		1.0	2	0	2018.0	2019.0
Dementia	C0497327	HSD11B1	3290	P28845	hydroxysteroid 11-beta dehydrogenase 1		163	0.52	0.731	0.41696	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	PAFAH1B1	5048	P43034	platelet activating factor acetylhydrolase 1b regulatory subunit 1		219	0.504	0.769	0.99995	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	SFTPC	6440	P11686	surfactant protein C		132	0.556	0.692	0.00075276	0.02		1.0	2	0	2002.0	2005.0
Dementia	C0497327	SHBG	6462	P04278	sex hormone binding globulin		368	0.438	0.808	1.2538e-06	0.02		0.5	2	0	2003.0	2017.0
Dementia	C0497327	ERVW-1	30816	Q9UQF0	endogenous retrovirus group W member 1, envelope		193	0.505	0.692		0.02		1.0	2	0	2006.0	2012.0
Dementia	C0497327	SLC1A2	6506	P43004	solute carrier family 1 member 2	Transporter	208	0.511	0.731	0.71036	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	OPN1SW	611	P03999	opsin 1, short wave sensitive	G-protein coupled receptor	164	0.519	0.769	0.021134	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	LPA	4018	P08519	lipoprotein(a)	Enzyme	340	0.444	0.769	6.5917e-89	0.02		1.0	2	0	1999.0	2004.0
Dementia	C0497327	ACTB	60	P60709	actin beta	Cellular structure	1110	0.325	0.923	0.98564	0.02		1.0	2	0	2006.0	2017.0
Dementia	C0497327	REN	5972	P00797	renin	Enzyme	721	0.37	0.923	2.4297e-07	0.02		1.0	2	0	2010.0	2017.0
Dementia	C0497327	PPARG	5468	P37231	peroxisome proliferator activated receptor gamma	Nuclear receptor	877	0.358	0.885	0.029194	0.02		0.5	2	2	2006.0	2011.0
Dementia	C0497327	TET2	54790	Q6N021	tet methylcytosine dioxygenase 2		362	0.458	0.808	4.3334e-54	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	ABCB1	5243	P08183	ATP binding cassette subfamily B member 1	Transporter	933	0.344	0.885	1.2564e-05	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	SERPINE1	5054	P05121	serpin family E member 1	Enzyme modulator	770	0.359	0.885	0.043609	0.02		1.0	2	0	2008.0	2014.0
Dementia	C0497327	HTR2A	3356	P28223	5-hydroxytryptamine receptor 2A	G-protein coupled receptor	289	0.473	0.846	0.51124	0.02		1.0	2	1	2001.0	2003.0
Dementia	C0497327	CXCL12	6387	P48061	C-X-C motif chemokine ligand 12		626	0.379	0.846	0.11851	0.02		1.0	2	0	2006.0	2019.0
Dementia	C0497327	NOS2	4843	P35228	nitric oxide synthase 2		783	0.364	0.923	4.0277e-15	0.02		1.0	2	0	2001.0	2002.0
Dementia	C0497327	SLC17A7	57030	Q9P2U7	solute carrier family 17 member 7	Transporter	79	0.636	0.308	0.99988	0.02		1.0	2	0	2008.0	2018.0
Dementia	C0497327	PDC	5132	P20941	phosducin		95	0.581	0.731	0.00010134	0.02		1.0	2	0	2001.0	2007.0
Dementia	C0497327	RAB3A	5864	P20336	RAB3A, member RAS oncogene family		30	0.691	0.462	0.9463	0.02		0.5	2	0	1996.0	2000.0
Dementia	C0497327	ERVK-6	64006		endogenous retrovirus group K member 6, envelope		162	0.521	0.808		0.02		1.0	2	0	2000.0	2006.0
Dementia	C0497327	PDYN	5173	P01213	prodynorphin	Signaling	197	0.535	0.577	0.00017033	0.02		1.0	2	3	2009.0	2017.0
Dementia	C0497327	SLC30A6	55676	Q6NXT4	solute carrier family 30 member 6	Transporter	19	0.711	0.346	6.906e-09	0.02		1.0	2	0	2011.0	2014.0
Dementia	C0497327	MAOA	4128	P21397	monoamine oxidase A		300	0.465	0.769	0.99928	0.02		1.0	2	0	2008.0	2008.0
Dementia	C0497327	RELN	5649	P78509	reelin		178	0.515	0.731	1.0	0.02		1.0	2	0	2003.0	2011.0
Dementia	C0497327	MMP2	4313	P08253	matrix metallopeptidase 2	Enzyme	1021	0.333	0.923	0.83878	0.02		1.0	2	0	2017.0	2018.0
Dementia	C0497327	IL18	3606	Q14116	interleukin 18		750	0.365	0.923	0.030717	0.02		1.0	2	0	2008.0	2020.0
Dementia	C0497327	MMP9	4318	P14780	matrix metallopeptidase 9	Enzyme	1337	0.305	0.923	1.8869e-17	0.02		1.0	2	0	2003.0	2018.0
Dementia	C0497327	MIR155	406947		microRNA 155		584	0.384	0.885		0.02		1.0	2	0	2018.0	2019.0
Dementia	C0497327	INSRR	3645	P14616	insulin receptor related receptor	Kinase	186	0.508	0.808	5.3976e-24	0.02		1.0	2	0	2015.0	2020.0
Dementia	C0497327	APOB	338	P04114	apolipoprotein B		339	0.453	0.808	1.9234e-16	0.02		0.5	2	0	1998.0	2017.0
Dementia	C0497327	CHCHD10	400916	Q8WYQ3	coiled-coil-helix-coiled-coil-helix domain containing 10		112	0.623	0.462	5.3661e-06	0.02		1.0	2	1	2015.0	2017.0
Dementia	C0497327	TAS2R62P	338399		taste 2 receptor member 62 pseudogene		15	0.729	0.192		0.02		1.0	2	0	1998.0	2006.0
Dementia	C0497327	MMP3	4314	P08254	matrix metallopeptidase 3	Enzyme	473	0.408	0.885	5.7362e-15	0.02		1.0	2	0	2007.0	2008.0
Dementia	C0497327	PIN1	5300	Q13526	peptidylprolyl cis/trans isomerase, NIMA-interacting 1		212	0.488	0.769	0.74031	0.02		1.0	2	0	2004.0	2016.0
Dementia	C0497327	CCL4	6351	P13236;Q8NHW4	C-C motif chemokine ligand 4	Signaling	276	0.466	0.923	0.24134	0.02		1.0	2	0	1996.0	2020.0
Dementia	C0497327	ATP2B3	492	Q16720	ATPase plasma membrane Ca2+ transporting 3	Transporter	72	0.631	0.692	0.99945	0.02		1.0	2	0	1980.0	1997.0
Dementia	C0497327	PARK7	11315	Q99497	Parkinsonism associated deglycase	Enzyme	161	0.535	0.808	0.75335	0.02		1.0	2	0	2004.0	2009.0
Dementia	C0497327	TXNIP	10628	Q9H3M7	thioredoxin interacting protein		208	0.49	0.731	0.15918	0.02		1.0	2	0	2018.0	2019.0
Dementia	C0497327	SPTLC1	10558	O15269	serine palmitoyltransferase long chain base subunit 1	Enzyme	63	0.65	0.538	4.1945e-11	0.02		1.0	2	0	2012.0	2013.0
Dementia	C0497327	PLA2G6	8398	O60733	phospholipase A2 group VI	Enzyme modulator	350	0.476	0.846	2.4837e-10	0.02		1.0	2	0	2009.0	2010.0
Dementia	C0497327	DLG4	1742	P78352	discs large MAGUK scaffold protein 4	Receptor	91	0.595	0.654	0.99954	0.02		1.0	2	0	2018.0	2019.0
Dementia	C0497327	PART1	25859		prostate androgen-regulated transcript 1		250	0.483	0.885		0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	GAP43	2596	P17677	growth associated protein 43		109	0.564	0.731	0.021461	0.02		0.5	2	0	1995.0	2000.0
Dementia	C0497327	NXF1	10482	Q9UBU9	nuclear RNA export factor 1	Nucleic acid binding	141	0.531	0.885	0.9763	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	ESR2	2100	Q92731	estrogen receptor 2	Nuclear receptor	528	0.4	0.923	4.4516e-08	0.02		1.0	2	0	2014.0	2017.0
Dementia	C0497327	AKT1	207	P31749	AKT serine/threonine kinase 1	Kinase	1250	0.311	0.962	0.9759	0.02		1.0	2	0	2012.0	2019.0
Dementia	C0497327	EPO	2056	P01588	erythropoietin		646	0.381	0.885	0.01125	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	KL	9365	Q9UEF7	klotho	Enzyme	332	0.448	0.769	0.00022444	0.02		1.0	2	0	2017.0	2018.0
Dementia	C0497327	GCG	2641	P01275	glucagon		441	0.431	0.885	0.034814	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	ABCA7	10347	Q8IZY2	ATP binding cassette subfamily A member 7	Transporter	70	0.644	0.577	2.1111e-55	0.02		1.0	2	1	2018.0	2019.0
Dementia	C0497327	STAR	6770	P49675	steroidogenic acute regulatory protein		177	0.513	0.808	8.7679e-11	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	EBP	10682	Q15125	EBP cholestenol delta-isomerase	Enzyme	243	0.494	0.846	0.93645	0.02		1.0	2	0	2002.0	2004.0
Dementia	C0497327	THBS1	7057	P07996	thrombospondin 1		480	0.407	0.885	0.99985	0.02		1.0	2	0	2001.0	2008.0
Dementia	C0497327	USO1	8615	O60763	USO1 vesicle transport factor	Transporter	153	0.522	0.885	0.33417	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	TPI1	7167	P60174	triosephosphate isomerase 1	Enzyme	184	0.517	0.846	0.030193	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	TRPM2	7226	O94759	transient receptor potential cation channel subfamily M member 2	Ion channel	133	0.546	0.731	8.9633e-44	0.02		1.0	2	0	2015.0	2018.0
Dementia	C0497327	SF3B1	23451	O75533	splicing factor 3b subunit 1	Nucleic acid binding	200	0.511	0.731	1.0	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	ERVK-32	110006328		endogenous retrovirus group K member 32, envelope		158	0.522	0.692		0.02		1.0	2	0	2000.0	2012.0
Dementia	C0497327	MIR659	724029		microRNA 659		7	0.805	0.192		0.02		1.0	2	0	2008.0	2011.0
Dementia	C0497327	TGDS	23483	O95455	TDP-glucose 4,6-dehydratase		63	0.644	0.538	2.4826e-09	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	CHRFAM7A	89832	P36544;Q494W8	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion		39	0.659	0.385	0.00023228	0.02		1.0	2	0	2012.0	2017.0
Dementia	C0497327	PICALM	8301	Q13492	phosphatidylinositol binding clathrin assembly protein	Transporter	79	0.592	0.538	0.99896	0.02		1.0	2	0	2011.0	2015.0
Dementia	C0497327	EDAR	10913	Q9UNE0	ectodysplasin A receptor		69	0.623	0.423	1.3242e-06	0.02		1.0	2	0	2017.0	2017.0
Dementia	C0497327	FLNB	2317	O75369	filamin B		374	0.458	0.923	6.0505e-10	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	MTOR	2475	P42345	mechanistic target of rapamycin kinase	Kinase	960	0.343	0.885	1.0	0.02		1.0	2	0	2018.0	2019.0
Dementia	C0497327	SEC14L2	23541	O76054	SEC14 like lipid binding 2		198	0.494	0.885	2.9195e-08	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	TIMP1	7076	P01033	TIMP metallopeptidase inhibitor 1	Enzyme modulator	603	0.38	0.885	0.4993	0.02		1.0	2	0	2003.0	2018.0
Dementia	C0497327	YWHAE	7531	P62258	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	Chaperone	176	0.53	0.692	0.98479	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	SIGMAR1	10280	Q99720	sigma non-opioid intracellular receptor 1		190	0.544	0.808	0.1678	0.02		1.0	2	1	2013.0	2015.0
Dementia	C0497327	SNCG	6623	O76070	synuclein gamma	Transporter	122	0.55	0.615	0.0008475	0.02		1.0	2	0	2017.0	2018.0
Dementia	C0497327	SLC18A3	6572	Q16572	solute carrier family 18 member A3	Transporter	117	0.608	0.654	0.45355	0.02		1.0	2	0	2017.0	2018.0
Dementia	C0497327	GDF15	9518	Q99988	growth differentiation factor 15	Signaling	389	0.429	0.808	3.0133e-07	0.02		1.0	2	0	2013.0	2016.0
Dementia	C0497327	DBN1	1627	Q16643	drebrin 1	Cellular structure	54	0.633	0.538	0.99705	0.02		1.0	2	0	2017.0	2017.0
Dementia	C0497327	REM1	28954	O75628	RRAD and GEM like GTPase 1		177	0.531	0.885	5.3363e-08	0.02		1.0	2	0	2017.0	2019.0
Dementia	C0497327	ERVK-20	100616444		endogenous retrovirus group K member 20		143	0.533	0.692		0.02		1.0	2	0	2006.0	2012.0
Dementia	C0497327	GLS	2744	O94925	glutaminase	Enzyme	217	0.489	0.808	0.96154	0.02		1.0	2	0	2004.0	2007.0
Dementia	C0497327	SPG11	80208	Q96JI7	SPG11 vesicle trafficking associated, spatacsin		139	0.576	0.538	1.6013e-39	0.02		1.0	2	0	1999.0	2016.0
Dementia	C0497327	AGTR1	185	P30556	angiotensin II receptor type 1	G-protein coupled receptor	440	0.423	0.846	0.00053161	0.02		1.0	2	1	2017.0	2017.0
Dementia	C0497327	SNAP25	6616	P60880	synaptosome associated protein 25	Transporter	283	0.489	0.808	0.98653	0.02		1.0	2	0	2019.0	2019.0
Dementia	C0497327	JAG1	182	P78504	jagged canonical Notch ligand 1		420	0.429	0.808	1.0	0.02		1.0	2	0	2017.0	2019.0
Dementia	C0497327	DRD3	1814	P35462	dopamine receptor D3	G-protein coupled receptor	199	0.529	0.692	0.0023694	0.02		1.0	2	0	2004.0	2009.0
Dementia	C0497327	TBK1	29110	Q9UHD2	TANK binding kinase 1	Kinase	207	0.513	0.846	0.075174	0.02		1.0	2	0	2015.0	2016.0
Dementia	C0497327	ASXL1	171023	Q8IXJ9	ASXL transcriptional regulator 1		296	0.482	0.808	1.2511e-14	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	ABCA1	19	O95477	ATP binding cassette subfamily A member 1	Transporter	291	0.467	0.846	1.4525e-13	0.02		1.0	2	1	2008.0	2009.0
Dementia	C0497327	AKAP6	9472	Q13023	A-kinase anchoring protein 6		34	0.695	0.538	0.99983	0.02		1.0	2	0	2017.0	2017.0
Dementia	C0497327	MFGE8	4240	Q08431	milk fat globule-EGF factor 8 protein	Enzyme	120	0.548	0.808	4.3953e-05	0.02		1.0	2	0	2018.0	2018.0
Dementia	C0497327	SLC1A3	6507	P43003	solute carrier family 1 member 3	Transporter	109	0.573	0.577	0.98914	0.02		1.0	2	0	2002.0	2005.0
Dementia	C0497327	TP63	8626	Q9H3D4	tumor protein p63	Transcription factor	816	0.362	0.769	0.99728	0.01		1.0	1	0	2017.0	2017.0
Dementia	C0497327	FADD	8772	Q13158	Fas associated via death domain		137	0.537	0.846	0.52595	0.01		1.0	1	0	2017.0	2017.0
Dementia	C0497327	ACKR3	57007	P25106	atypical chemokine receptor 3	G-protein coupled receptor	400	0.428	0.885	0.39134	0.01		1.0	1	0	2019.0	2019.0
Dementia	C0497327	CAV1	857	Q03135	caveolin 1	Enzyme modulator	633	0.388	0.885	0.008274	0.01		1.0	1	0	2020.0	2020.0
Dementia	C0497327	CHPT1	56994	Q8WUD6	choline phosphotransferase 1	Enzyme	253	0.474	0.846	0.00024252	0.01		1.0	1	0	2019.0	2019.0
Dementia	C0497327	STK16	8576	O75716	serine/threonine kinase 16	Kinase	11	0.805	0.231	0.0001182	0.01		1.0	1	0	2013.0	2013.0
Dementia	C0497327	CASP6	839	P55212	caspase 6	Enzyme	73	0.61	0.615	0.00012665	0.01		1.0	1	0	2010.0	2010.0
Dementia	C0497327	EHMT1	79813	Q9H9B1	euchromatic histone lysine methyltransferase 1	Epigenetic regulator	371	0.46	0.808	1.0	0.01		1.0	1	0	2019.0	2019.0
Dementia	C0497327	RIN3	79890	Q8TB24	Ras and Rab interactor 3	Enzyme modulator	8	0.792	0.269	4.2837e-10	0.01		1.0	1	0	2019.0	2019.0
Dementia	C0497327	BHLHE40	8553	O14503	basic helix-loop-helix family member e40	Transcription factor	113	0.544	0.731	0.99444	0.01		1.0	1	0	2016.0	2016.0
Dementia	C0497327	PDXP	57026	Q96GD0	pyridoxal phosphatase	Enzyme	149	0.533	0.731	0.25559	0.01		1.0	1	0	1996.0	1996.0
Dementia	C0497327	CASP1	834	P29466	caspase 1	Enzyme	444	0.413	0.885	3.5183e-05	0.01		1.0	1	0	2003.0	2003.0
Dementia	C0497327	BACH1	571	O14867	BTB domain and CNC homolog 1		86	0.585	0.731	0.57072	0.01		0.0	1	0	2018.0	2018.0
Dementia	C0497327	FGF23	8074	Q9GZV9	fibroblast growth factor 23	Signaling	305	0.46	0.731	0.031014	0.01		1.0	1	0	2019.0	2019.0
Dementia	C0497327	TIGAR	57103	Q9NQ88	TP53 induced glycolysis regulatory phosphatase		71	0.599	0.692	0.7348	0.01		1.0	1	0	2013.0	2013.0
Dementia	C0497327	CNSN	8173		Carnosinemia (carnosinase)		1	1.0	0.077		0.01		1.0	1	0	2007.0	2007.0
Dementia	C0497327	COLQ	8292	Q9Y215	collagen like tail subunit of asymmetric acetylcholinesterase		92	0.628	0.654	7.9356e-14	0.01		1.0	1	0	2017.0	2017.0
Dementia	C0497327	LGR6	59352	Q9HBX8	leucine rich repeat containing G protein-coupled receptor 6	G-protein coupled receptor	209	0.502	0.923	2.9439e-06	0.01		1.0	1	0	2018.0	2018.0
Dementia	C0497327	FZD4	8322	Q9ULV1	frizzled class receptor 4	G-protein coupled receptor	239	0.49	0.923	0.96962	0.01		1.0	1	0	2018.0	2018.0
Dementia	C0497327	MCOLN1	57192	Q9GZU1	mucolipin 1	Ion channel	102	0.601	0.654	0.00058027	0.01		1.0	1	0	2019.0	2019.0
Dementia	C0497327	CASP2	835	P42575	caspase 2	Enzyme	105	0.565	0.731	0.0015026	0.01		1.0	1	0	2019.0	2019.0
Dementia	C0497327	SLC17A6	57084	Q9P2U8	solute carrier family 17 member 6	Transporter	43	0.678	0.5	0.16199	0.01		1.0	1	0	2008.0	2008.0
Dementia	C0497327	SHANK3	85358	Q9BYB0	SH3 and multiple ankyrin repeat domains 3		169	0.55	0.731	1.0	0.01		1.0	1	0	2012.0	2012.0
Dementia	C0497327	COL25A1	84570	Q9BXS0	collagen type XXV alpha 1 chain		84	0.599	0.538	1.6393e-18	0.01		1.0	1	0	2018.0	2018.0
Dementia	C0497327	PSMD7	5713	P51665	proteasome 26S subunit, non-ATPase 7	Enzyme	114	0.551	0.692	0.26367	0.01		1.0	1	0	2017.0	2017.0
Dementia	C0497327	SRPX	8406	P78539	sushi repeat containing protein X-linked		49	0.653	0.577	0.0030756	0.01		1.0	1	0	2017.0	2017.0
Dementia	C0497327	NUP214	8021	P35658	nucleoporin 214	Nucleic acid binding	62	0.638	0.385	0.054748	0.01		1.0	1	0	2020.0	2020.0
Dementia	C0497327	AICDA	57379	Q9GZX7	activation induced cytidine deaminase	Enzyme	265	0.463	0.885	9.2098e-06	0.01		1.0	1	0	2002.0	2002.0
Dementia	C0497327	NAA50	80218	Q9GZZ1	N-alpha-acetyltransferase 50, NatE catalytic subunit	Enzyme	21	0.716	0.346	0.73486	0.01		1.0	1	0	2014.0	2014.0
